0.0,1.0,64
1.0,1.5,69
1.5,2.0,65
2.0,3.0,71
3.0,4.0,72
4.0,4.5,77
4.5,5.0,71
5.0,5.5,62
5.5,6.0,72
6.0,6.5,65
6.5,7.0,71
7.0,7.5,67
7.5,8.0,64
------------------------
8.25,8.5,23
8.25,9.25,55
8.25,9.25,60
9.25,10.25,57
9.25,11.25,53
10.25,11.25,59
10.25,11.25,62
11.25,11.75,53
11.25,11.75,57
11.75,12.25,52
11.75,12.25,56
12.25,12.75,64
12.25,13.25,50
12.25,13.25,62
13.25,13.5,65
13.25,14.25,53
13.25,14.25,57
14.25,15.25,50
14.25,15.25,58
15.25,15.75,52
15.25,15.75,59
15.25,15.75,67
15.75,16.25,48
15.75,16.25,61
15.75,16.25,64
16.25,16.75,54
16.25,16.75,57
16.75,17.0,50
16.75,17.0,54
16.75,17.0,60
16.25,17.0,69
