0.0,0.5,67
0.0,1.0,67
0.0,2.0,71
0.0,2.5,71
0.0,3.0,71
0.0,3.5,71
0.0,4.0,64
0.0,5.5,60
0.0,6.0,67
0.0,7.0,74
0.0,7.5,72
0.0,8.0,65
------------------------
8.25,8.5,49
8.25,8.5,55
8.25,8.75,71
8.75,9.0,69
8.25,9.25,63
9.25,10.25,51
9.25,10.25,55
9.25,10.25,63
9.25,10.25,71
10.25,10.75,52
10.25,10.75,71
10.75,11.25,51
10.25,11.25,56
10.25,11.25,63
10.75,11.25,68
10.75,11.25,71
11.25,11.75,64
11.25,11.75,71
11.25,12.0,68
11.25,12.25,49
11.25,12.25,56
11.75,12.25,64
12.25,12.5,64
12.25,13.25,51
12.25,13.25,58
12.25,13.25,63
12.75,13.25,63
13.25,13.75,56
13.25,13.75,60
13.25,14.0,44
13.75,14.25,50
13.25,14.25,59
13.25,14.25,63
14.25,14.75,56
14.25,15.25,46
14.75,15.25,56
14.25,15.25,58
14.25,15.25,63
14.25,15.25,74
15.25,15.75,51
15.25,15.75,55
15.25,15.75,58
15.25,15.75,72
15.75,16.0,56
15.75,16.25,50
15.75,16.25,53
16.0,16.25,55
15.25,16.25,63
15.75,16.25,65
