0.0,1.0,76
1.0,2.0,72
2.0,2.5,76
2.5,3.0,76
3.0,4.0,76
4.0,5.0,67
5.0,6.0,77
6.0,7.0,67
7.0,8.0,72
------------------------
8.25,9.25,60
8.25,9.25,60
9.25,9.75,60
9.75,10.25,59
9.25,10.25,64
10.25,11.25,57
10.25,11.25,64
10.25,11.25,69
11.25,11.75,62
11.25,12.25,50
11.75,12.25,60
11.25,12.25,69
12.25,12.5,69
12.25,13.25,52
12.25,13.25,59
13.25,14.25,48
13.25,14.25,59
13.25,14.25,64
14.25,15.25,48
14.25,15.25,60
14.25,15.25,64
15.25,16.25,45
15.25,16.25,55
15.25,16.25,64
16.25,17.0,50
16.25,17.0,54
16.25,17.0,62
16.25,17.0,71
