0.0,1.0,65
1.0,2.0,77
2.0,3.0,72
3.5,4.0,67
4.25,4.5,50
4.25,4.75,60
4.25,5.25,44
4.25,5.25,65
5.25,6.25,46
5.25,6.25,53
5.25,6.25,65
5.25,6.25,77
6.25,7.25,53
6.25,7.25,58
6.25,7.25,65
6.25,7.25,72
7.25,7.75,72
------------------------
8.25,8.75,41
8.75,9.25,43
8.25,9.25,60
8.25,9.25,69
9.25,10.25,41
9.25,10.25,69
9.25,10.75,60
10.25,11.25,48
10.75,11.25,58
10.25,11.25,64
10.25,11.25,67
11.25,12.25,41
11.25,12.25,57
12.25,13.25,62
13.25,14.25,50
13.25,14.25,70
14.25,15.25,48
14.25,15.25,55
14.25,15.25,63
15.25,16.25,41
15.25,16.25,62
15.25,16.25,67
16.25,16.75,57
16.25,17.0,41
16.75,17.0,55
16.25,17.0,60
16.25,17.0,69
