0.0,0.5,69
0.5,1.0,67
1.0,1.5,65
1.5,2.0,76
2.0,2.5,72
2.5,3.0,69
3.0,3.5,65
3.5,4.0,62
4.0,5.0,64
5.0,6.0,77
6.0,7.0,76
7.0,8.0,72
------------------------
8.25,8.75,63
8.25,9.25,56
8.25,9.25,57
9.25,9.75,57
9.25,9.75,57
9.25,10.25,60
10.25,10.75,55
10.75,11.25,57
10.25,11.25,60
10.75,11.25,60
11.25,11.75,59
11.25,11.75,59
11.75,12.25,53
11.25,12.25,62
12.25,12.75,52
12.25,12.75,60
12.75,13.25,50
12.25,13.25,55
13.25,13.75,48
13.75,14.25,46
13.25,14.25,57
14.25,14.75,49
14.25,14.75,59
14.75,15.25,46
14.75,15.25,61
14.75,15.25,64
15.75,16.25,64
15.75,16.25,64
15.25,17.0,57
16.25,17.0,62
16.25,17.0,65
15.25,17.0,72
