0.0,1.0,65
1.0,1.5,67
1.5,2.0,76
2.0,2.5,67
2.5,3.0,67
3.0,3.5,77
3.5,4.0,69
4.0,4.5,67
4.5,5.0,69
5.0,5.5,69
5.5,6.0,67
6.0,6.5,69
6.5,7.0,72
7.0,7.5,60
7.5,8.0,67
------------------------
8.25,8.75,51
8.75,9.25,50
8.25,9.25,56
8.25,9.25,59
9.25,9.75,59
9.25,10.25,51
9.25,10.25,54
10.25,10.75,62
10.25,11.25,47
10.25,11.25,53
11.25,11.75,49
11.25,11.75,50
10.75,11.75,60
11.75,12.25,48
11.75,12.25,51
11.75,12.25,59
12.25,12.75,50
12.25,12.75,50
12.25,12.75,59
12.75,13.25,52
13.25,13.75,54
13.25,14.25,38
13.75,14.25,50
13.25,14.25,62
14.25,15.25,38
14.25,15.25,50
14.25,15.25,62
15.25,15.5,62
15.25,16.25,43
15.25,16.25,50
15.75,16.25,59
16.25,17.0,48
16.25,17.0,51
16.25,17.0,60
16.25,17.0,67
